ind_income,genQ,te,tr,QMR,CAP,MA,vd,vma,O,P,alfa,epsilon,ft,fop,ec,r_cc,r_tp,area,goalQ,temination,OF_value,income,income_vma,income_vd,cost_infraest,cost_transport,cost_acquis,cost_transf,y,z,x,R,Rmax,Rmin,Q_coll,Q_transf,goal_ratio,%income_vd,%income_vma,std_profit,maxmin_profit
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.54,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.55,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.56,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0000000000000002, 4: 1.0}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.57,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.58,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.59,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.6,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.61,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.62,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.63,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.64,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.65,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.66,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.67,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.68,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.69,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.7,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.71,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.72,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.73,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0000000000000002, 4: 1.0}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.74,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.75,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.76,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.77,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.78,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.79,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
0.75,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.3,0.236,"[(1, 0.9299999999999999), (2, 0.585), (3, 0.18), (4, 0.12)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.8,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,500055.0,1390063.1,953328.8,436734.3,280000.0,246046.2,249562.5,114399.4,"[((3, 4), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.9299999999999999), ((2, 3, 2), 0.585), ((3, 3, 2), 0.18), ((4, 3, 2), 0.12)]","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0000000000000002}",1.0,1.0,1.815,1.38666,1.146,31.4,68.6,0.0,0.0
